Order ID,Product Name,Category,Price,Quantity Sold,Total Sales,Order Date,Customer ID,Region
1001,Process,Sports,307.48,9,2767.32,2024-02-15,10334,South
1002,Open,Books,277.88,6,1667.28,2023-12-20,10287,North
1003,Show,Home & Kitchen,123.65,3,370.95,2022-10-03,10251,North
1004,Whether,Books,201.54,7,1410.78,2024-02-03,10264,West
1005,Sing,Books,301.29,9,2711.61,2022-11-29,10270,East
1006,Charge,Apparel,253.42,3,760.26,2022-11-15,10923,South
1007,Apply,Home & Kitchen,494.01,2,988.02,2023-06-22,10919,North
1008,Market,Home & Kitchen,76.86,7,538.02,2023-09-29,10699,South
1009,Management,Home & Kitchen,350.62,7,2454.34,2024-02-13,10418,West
1010,Direction,Books,208.12,4,832.48,2022-12-26,10725,West
1011,Miss,Sports,219.82,9,1978.38,2024-05-14,10794,North
1012,Ability,Home & Kitchen,361.62,8,2892.96,2024-04-26,10210,West
1013,Particularly,Books,349.29,1,349.29,2024-02-07,10364,East
1014,Seek,Apparel,495.72,1,495.72,2023-02-02,10075,West
1015,Enough,Sports,72.91,5,364.55,2023-10-30,10659,West
1016,Western,Apparel,61.01,6,366.06,2024-02-27,10320,West
1017,Television,Sports,364.93,3,1094.79,2023-10-21,10724,South
1018,Physical,Books,293.41,9,2640.69,2023-08-09,10432,South
1019,Ask,Electronics,144.34,6,866.04,2023-01-03,10108,North
1020,Song,Sports,48.92,4,195.68,2023-05-28,10640,North
1021,Range,Apparel,51.97,7,363.79,2024-02-28,10521,North
1022,Whom,Books,448.15,8,3585.2,2022-09-11,10046,West
1023,Pay,Sports,104.01,9,936.09,2023-01-11,10378,South
1024,Senior,Electronics,168.45,6,1010.7,2024-06-18,10826,East
1025,Management,Electronics,121.06,6,726.36,2023-04-05,10095,West
1026,Always,Home & Kitchen,183.95,8,1471.6,2024-03-24,10957,West
1027,Role,Home & Kitchen,44.02,5,220.1,2023-03-27,10102,West
1028,Color,Apparel,264.34,3,793.02,2023-12-06,10891,East
1029,Role,Sports,43.13,3,129.39,2024-01-12,10853,North
1030,Nation,Sports,402.17,6,2413.02,2023-01-07,10145,East
1031,Certain,Home & Kitchen,124.52,2,249.04,2023-07-14,10879,North
1032,Cut,Sports,274.61,6,1647.66,2024-04-30,10941,East
1033,Subject,Sports,441.24,6,2647.44,2023-11-13,10927,South
1034,Two,Electronics,328.93,8,2631.44,2023-03-10,10026,West
1035,Young,Home & Kitchen,271.15,7,1898.05,2023-12-08,10731,West
1036,Much,Books,168.92,8,1351.36,2024-05-09,10529,West
1037,Free,Home & Kitchen,173.17,9,1558.53,2024-08-09,10678,North
1038,Piece,Books,338.05,6,2028.3,2024-03-13,10944,East
1039,Only,Electronics,497.13,3,1491.39,2024-05-31,10988,South
1040,Article,Apparel,334.3,3,1002.9,2023-01-18,10081,East
1041,Couple,Sports,283.31,1,283.31,2023-08-15,10427,West
1042,Start,Electronics,368.02,5,1840.1,2023-02-19,10583,South
1043,Build,Sports,237.95,4,951.8,2022-08-30,10821,South
1044,Some,Apparel,39.47,9,355.23,2024-02-26,10478,West
1045,Concern,Apparel,285.53,9,2569.77,2023-07-16,10765,East
1046,Data,Electronics,479.24,5,2396.2,2022-10-27,10161,West
1047,Admit,Apparel,95.9,4,383.6,2024-05-27,10838,East
1048,Somebody,Books,348.1,7,2436.7,2024-02-14,10931,South
1049,Allow,Apparel,108.46,6,650.76,2023-06-20,10401,South
1050,Often,Sports,272.56,4,1090.24,2022-09-22,10507,West
1051,Manage,Sports,57.37,2,114.74,2023-03-28,10037,South
1052,Do,Sports,230.68,1,230.68,2024-06-09,10954,North
1053,Just,Sports,380.52,4,1522.08,2023-09-17,10510,South
1054,Career,Books,180.31,4,721.24,2024-02-27,10392,North
1055,Central,Home & Kitchen,335.81,1,335.81,2023-01-02,10712,South
1056,Something,Electronics,399.77,6,2398.62,2024-06-05,10493,West
1057,Good,Sports,464.32,4,1857.28,2023-09-11,10199,West
1058,Black,Apparel,124.97,1,124.97,2023-12-12,10254,North
1059,Choose,Sports,205.66,1,205.66,2023-02-21,10178,West
1060,Month,Apparel,84.68,1,84.68,2024-05-19,10546,South
1061,Rate,Apparel,496.32,8,3970.56,2023-03-13,10593,South
1062,Dog,Sports,464.23,8,3713.84,2023-09-22,10388,West
1063,Care,Books,274.58,2,549.16,2022-12-20,10397,South
1064,News,Apparel,422.6,7,2958.2,2023-04-11,10731,East
1065,Exactly,Apparel,265.27,8,2122.16,2024-03-16,10157,East
1066,Grow,Sports,315.56,8,2524.48,2024-02-16,10003,South
1067,Them,Apparel,53.67,7,375.69,2023-12-23,10166,West
1068,College,Apparel,380.08,5,1900.4,2023-03-26,10467,North
1069,What,Sports,72.58,1,72.58,2023-09-07,10959,West
1070,Early,Sports,414.77,9,3732.93,2022-11-26,10408,North
1071,Back,Electronics,393.19,7,2752.33,2023-12-07,10411,West
1072,Section,Books,357.28,2,714.56,2023-01-12,10203,South
1073,Environmental,Books,27.72,6,166.32,2023-03-10,10193,East
1074,Decide,Apparel,158.53,2,317.06,2023-08-19,10234,West
1075,Place,Books,138.93,1,138.93,2022-12-30,10717,North
1076,Together,Apparel,186.47,7,1305.29,2023-07-18,10149,East
1077,Nice,Electronics,52.94,2,105.88,2023-08-26,10158,North
1078,Trade,Sports,469.11,2,938.22,2023-01-27,10278,South
1079,Really,Sports,281.36,5,1406.8,2023-11-19,10815,East
1080,Television,Sports,159.71,5,798.55,2024-06-11,10403,North
1081,Stuff,Books,204.52,7,1431.64,2022-12-07,10892,West
1082,Prevent,Electronics,229.13,1,229.13,2023-05-05,10677,South
1083,Floor,Books,304.29,8,2434.32,2024-03-01,10310,South
1084,Way,Books,262.68,3,788.04,2023-08-31,10067,South
1085,Already,Electronics,460.5,4,1842.0,2023-09-21,10462,West
1086,What,Electronics,253.51,9,2281.59,2024-05-21,10087,West
1087,Else,Electronics,496.16,4,1984.64,2023-10-14,10216,East
1088,Air,Electronics,427.2,5,2136.0,2023-11-24,10000,West
1089,East,Sports,112.17,7,785.19,2023-04-29,10134,East
1090,Collection,Home & Kitchen,465.99,4,1863.96,2023-01-22,10696,South
1091,Piece,Home & Kitchen,67.02,1,67.02,2023-05-12,10350,East
1092,Billion,Electronics,410.55,9,3694.95,2023-02-18,10139,North
1093,Pressure,Home & Kitchen,196.51,4,786.04,2023-07-28,10617,South
1094,Career,Home & Kitchen,440.21,9,3961.89,2023-11-18,10132,South
1095,Able,Electronics,435.35,6,2612.1,2022-12-07,10619,East
1096,Price,Home & Kitchen,404.9,1,404.9,2022-12-21,10177,South
1097,Tend,Books,397.11,3,1191.33,2023-06-10,10809,West
1098,Now,Apparel,159.29,2,318.58,2022-10-18,10357,North
1099,Staff,Apparel,49.65,9,446.85,2024-03-10,10379,East
1100,Off,Electronics,207.46,1,207.46,2023-03-23,10907,East
1101,Along,Sports,95.03,9,855.27,2023-05-28,10870,South
1102,Field,Electronics,350.53,9,3154.77,2023-10-05,10657,West
1103,Citizen,Sports,179.59,8,1436.72,2023-06-18,10449,South
1104,Something,Apparel,488.05,8,3904.4,2024-04-21,10585,South
1105,They,Electronics,324.08,1,324.08,2024-02-19,10462,East
1106,Mention,Books,413.02,8,3304.16,2024-02-06,10989,South
1107,Teacher,Home & Kitchen,74.94,3,224.82,2023-02-25,10107,North
1108,Away,Sports,432.39,7,3026.73,2023-08-19,10121,South
1109,A,Home & Kitchen,462.15,1,462.15,2024-06-22,10016,South
1110,Sing,Home & Kitchen,248.66,1,248.66,2023-11-02,10195,East
1111,Marriage,Electronics,307.06,5,1535.3,2023-12-07,10326,South
1112,Very,Home & Kitchen,384.76,5,1923.8,2023-11-12,10317,West
1113,Town,Books,95.67,8,765.36,2023-09-06,10808,East
1114,Old,Home & Kitchen,256.26,7,1793.82,2024-02-04,10478,South
1115,Give,Electronics,205.34,8,1642.72,2023-01-18,10251,North
1116,Represent,Books,81.72,6,490.32,2023-03-30,10502,North
1117,South,Apparel,190.09,6,1140.54,2024-03-31,10998,East
1118,Eye,Home & Kitchen,43.4,2,86.8,2022-09-24,10118,East
1119,Enjoy,Electronics,22.65,6,135.9,2022-09-29,10673,South
1120,Society,Apparel,76.23,5,381.15,2022-11-13,10709,West
1121,Member,Apparel,481.93,3,1445.79,2024-04-29,10497,South
1122,Your,Sports,279.27,6,1675.62,2024-01-29,10485,North
1123,Cell,Books,483.25,8,3866.0,2024-07-27,10044,West
1124,Product,Home & Kitchen,221.92,9,1997.28,2023-05-27,10313,West
1125,Anything,Electronics,162.79,1,162.79,2024-07-20,10178,West
1126,Price,Sports,258.01,3,774.03,2024-01-26,10893,South
1127,Call,Books,225.36,3,676.08,2022-08-18,10417,North
1128,Middle,Sports,61.78,8,494.24,2022-12-01,10555,East
1129,Plant,Books,324.0,1,324.0,2023-02-16,10782,South
1130,Hard,Books,115.86,5,579.3,2023-11-02,10077,East
1131,Doctor,Home & Kitchen,313.6,3,940.8,2022-09-12,10325,West
1132,Method,Books,328.6,2,657.2,2023-12-01,10689,West
1133,Join,Sports,84.49,8,675.92,2024-04-06,10356,South
1134,Again,Books,40.06,3,120.18,2022-10-28,10415,North
1135,Land,Home & Kitchen,392.57,7,2747.99,2023-12-06,10962,West
1136,Finish,Home & Kitchen,235.3,1,235.3,2023-07-16,10514,East
1137,Country,Sports,38.5,6,231.0,2024-05-25,10213,East
1138,Drop,Apparel,497.48,3,1492.44,2023-03-29,10853,South
1139,West,Apparel,38.31,8,306.48,2023-08-24,10073,East
1140,Fire,Books,350.57,6,2103.42,2023-09-17,10562,North
1141,Discover,Electronics,492.0,2,984.0,2023-01-08,10578,West
1142,Will,Books,127.2,6,763.2,2022-10-06,10508,East
1143,Investment,Sports,79.7,7,557.9,2023-05-04,10331,East
1144,Science,Sports,69.48,5,347.4,2023-07-01,10092,West
1145,Read,Sports,158.6,3,475.8,2022-09-10,10687,South
1146,Health,Sports,59.51,4,238.04,2024-06-08,10656,East
1147,Fact,Sports,349.16,4,1396.64,2024-07-17,10518,South
1148,Daughter,Home & Kitchen,40.52,6,243.12,2022-09-27,10268,South
1149,Take,Apparel,259.62,1,259.62,2024-05-08,10375,East
1150,Very,Sports,498.38,4,1993.52,2024-02-25,10833,North
1151,Several,Electronics,408.85,4,1635.4,2024-01-06,10003,South
1152,Claim,Electronics,311.46,1,311.46,2022-12-08,10137,East
1153,Role,Electronics,160.06,9,1440.54,2023-12-08,10230,South
1154,Something,Electronics,315.71,4,1262.84,2022-09-27,10599,West
